well,z,channel,focus_laplacian_var,focus_normalized_var
B08,0,SYTO,38700.921875,540.3732090463993
B08,1,CONC,12810.5078125,144.4796156171396
B08,1,HOECHST,7837.4677734375,110.93182775683728
B08,1,MITO,98982.390625,988.3802296569239
B08,1,PHAandWGA,52064.52734375,677.4878771436287
B08,1,SYTO,41340.03125,651.339504570663
B08,2,CONC,13587.7666015625,159.91199987943855
B08,2,HOECHST,8312.447265625,124.46125306350851
B08,2,MITO,102273.5,1062.3012327564013
B08,2,PHAandWGA,55205.4453125,733.8933977899338
B08,2,SYTO,44058.31640625,713.9120772082155
B08,3,CONC,14397.234375,167.45326766887197
B08,3,HOECHST,8811.75,129.97913858683953
B08,3,MITO,106454.0625,1116.6104253886492
B08,3,PHAandWGA,58084.296875,769.1366689875559
B08,3,SYTO,46460.1640625,740.025899239889
B08,4,CONC,15200.3505859375,165.9772279348498
B08,4,HOECHST,9270.048828125,132.223456504555
B08,4,MITO,109598.109375,1110.9799319565022
B08,4,PHAandWGA,60684.88671875,765.815867083037
B08,4,SYTO,49090.0703125,727.0362688825047
B08,5,CONC,15794.267578125,157.33033814877962
B08,5,HOECHST,9660.3984375,125.65136463517823
B08,5,MITO,115269.28125,1087.8174080178912
B08,5,PHAandWGA,62352.0234375,741.0970647431831
B08,5,SYTO,52196.1953125,690.2871886270595
B08,6,CONC,16316.8974609375,147.39410841591874
B08,6,HOECHST,10072.38671875,120.9691723281296
