plate,kind,well,z,cell_line,treatment,binary_iou,mean_instance_iou,matched_iou@0.5,precision@0.5,recall@0.5,f1@0.5,TP,FN,FP,n_expert,n_pred,depth_um
PB000139,nuclei,C23,7,HCT116,SN-38,0.25520859256014894,0.27142636021923,0.6982820687696742,0.34782608695652173,0.2857142857142857,0.3137254901960784,8,20,15,28,23,35
PB000139,nuclei,C23,9,HCT116,SN-38,0.4085142744462216,0.4384456996776366,0.6653482381098959,0.38461538461538464,0.38461538461538464,0.38461538461538464,5,8,8,13,13,45
PB000139,nuclei,D06,1,HT29,SN-38,0.7243283032756717,0.7284626038788362,0.7284626038788362,1.0,1.0,1.0,9,0,0,9,9,5
PB000139,nuclei,D06,11,HT29,SN-38,0.3210067368543848,0.30666207955809116,0.6173646609158026,0.6363636363636364,0.3888888888888889,0.4827586206896552,7,11,4,18,11,55
PB000139,nuclei,D06,3,HT29,SN-38,0.46842391864247135,0.5099749247917866,0.7555002768105743,0.5882352941176471,0.5882352941176471,0.5882352941176471,10,7,7,17,17,15
PB000139,nuclei,D06,5,HT29,SN-38,0.438595681007888,0.4319410110512235,0.6497942362874258,0.45454545454545453,0.4,0.4255319148936171,10,15,12,25,22,25
PB000139,nuclei,D06,7,HT29,SN-38,0.33508674070988287,0.34097104460498817,0.6536851775895292,0.3103448275862069,0.2903225806451613,0.30000000000000004,9,22,20,31,29,35
PB000139,nuclei,D06,9,HT29,SN-38,0.3562719841263334,0.3551971789871351,0.6679929416197077,0.5652173913043478,0.43333333333333335,0.49056603773584906,13,17,10,30,23,45
PB000139,nuclei,D11,1,HCT116,binimetinib,0.3426807160661681,0.3179489669942567,0.7147250774099427,0.36363636363636365,0.2857142857142857,0.32,4,10,7,14,11,5
PB000139,nuclei,D11,11,HCT116,binimetinib,0.37849796235202793,0.3074941413801087,0.6148961013885329,0.3333333333333333,0.2857142857142857,0.30769230769230765,2,5,4,7,6,55
PB000139,nuclei,D11,3,HCT116,binimetinib,0.31467107926001764,0.3152041409673366,0.6928932953194469,0.3,0.3,0.3,9,21,21,30,30,15
PB000139,nuclei,D11,5,HCT116,binimetinib,0.20153527769756474,0.2064672986161433,0.6243031095656113,0.15,0.13636363636363635,0.14285714285714282,3,19,17,22,20,25
PB000139,nuclei,D11,7,HCT116,binimetinib,0.35968466187244674,0.37608419340957205,0.5529455878156907,0.4117647058823529,0.4117647058823529,0.4117647058823529,7,10,10,17,17,35
PB000139,nuclei,D11,9,HCT116,binimetinib,0.397431512173886,0.2958165245627577,0.6252931107910877,0.3,0.3,0.3,3,7,7,10,10,45
PB000139,nuclei,G08,1,HCT116,abemaciclib,0.8030182009754772,0.7973417502095651,0.8637868960603624,0.96,0.9230769230769231,0.9411764705882353,24,2,1,26,25,5
PB000139,nuclei,G08,11,HCT116,abemaciclib,0.5002144433440685,0.4691520371776967,0.6405747308992837,0.7619047619047619,0.6274509803921569,0.6881720430107526,32,19,10,51,42,55
PB000139,nuclei,G08,3,HCT116,abemaciclib,0.7804418272726457,0.7232649610413479,0.8148039415919055,0.864406779661017,0.8360655737704918,0.85,51,10,8,61,59,15
PB000139,nuclei,G08,5,HCT116,abemaciclib,0.563483973269906,0.5503322656848572,0.8598699130075432,0.8571428571428571,0.6153846153846154,0.7164179104477612,48,30,8,78,56,25
PB000139,nuclei,G08,7,HCT116,abemaciclib,0.5932757923770121,0.5766899129101041,0.7866641816817593,0.8522727272727273,0.6944444444444444,0.7653061224489796,75,33,13,108,88,35
PB000139,nuclei,G08,9,HCT116,abemaciclib,0.6479137863802332,0.6284394452652734,0.8472463910267988,0.8656716417910447,0.7160493827160493,0.7837837837837838,58,23,9,81,67,45
PB000139,nuclei,J06,1,HCT116,SN-38,0.6925396145610279,0.6735507842828266,0.7067165932366269,0.8666666666666667,0.8666666666666667,0.8666666666666667,13,2,2,15,15,5
PB000139,nuclei,J06,11,HCT116,SN-38,0.35499809958190803,0.3815694691834653,0.7059912786016361,0.6428571428571429,0.5,0.5625000000000001,9,9,5,18,14,55
