;perturbation;group;grit;compound;conc
235;BMS-75_889;0.00833;-0.26951568627782463;BMS-75;0.00833
236;BMS-75_899;1.0;1.1875118975706527;BMS-75;1.0
237;BMS-75_900;0.1;0.44249295819636747;BMS-75;0.1
238;BMS-75_954;1.0;1.1077419069215861;BMS-75;1.0
239;BMS-75_960;0.00833;0.19447927867359385;BMS-75;0.00833
240;Crizot_107;0.1;0.5341171395420883;Crizot;0.1
241;Crizot_177;0.0333;0.29836934435493023;Crizot;0.0333
242;Crizot_202;0.1;-0.01956497586974096;Crizot;0.1
243;Crizot_208;1.0;0.5478447811093534;Crizot;1.0
244;Crizot_226;0.00833;0.12229751805657639;Crizot;0.00833
245;Crizot_250;0.333;0.4466323650602056;Crizot;0.333
246;Crizot_27;0.0333;0.4138419302296384;Crizot;0.0333
247;Crizot_282;0.00833;0.00624761008229443;Crizot;0.00833
248;Crizot_320;0.0333;0.44208802407195236;Crizot;0.0333
249;Crizot_328;0.1;0.06809514609160147;Crizot;0.1
250;Crizot_348;0.333;-0.05407424078128232;Crizot;0.333
251;Crizot_427;0.1;0.5588295070884463;Crizot;0.1
252;Crizot_441;0.00833;0.27567777226038365;Crizot;0.00833
253;Crizot_467;1.0;0.06934973303708114;Crizot;1.0
254;Crizot_471;0.00833;0.39780886215908084;Crizot;0.00833
255;Crizot_541;0.0333;0.5556472862336511;Crizot;0.0333
256;Crizot_557;0.333;-0.6328193802389398;Crizot;0.333
257;Crizot_571;1.0;0.6655387927428396;Crizot;1.0
258;Crizot_66;0.333;-0.5912292248226109;Crizot;0.333
259;Crizot_90;1.0;-0.36020673461929636;Crizot;1.0
260;Dabraf_1040;0.00833;-0.23896641855771522;Dabraf;0.00833
261;Dabraf_1073;0.0333;0.49811305016133806;Dabraf;0.0333
262;Dabraf_1101;0.1;-0.03983171822953089;Dabraf;0.1
263;Dabraf_1119;10.0;1.7494575779443444;Dabraf;10.0
264;Dabraf_1150;1.0;0.703721487721317;Dabraf;1.0
265;Dabraf_1193;1.0;0.9592982978819506;Dabraf;1.0
266;Dabraf_1223;0.333;0.7111042356351319;Dabraf;0.333
267;Dabraf_615;1.0;0.5016166367069698;Dabraf;1.0
268;Dabraf_619;10.0;0.7472584792586869;Dabraf;10.0
269;Dabraf_637;0.1;0.12049111584279237;Dabraf;0.1
270;Dabraf_669;10.0;0.06862608017597255;Dabraf;10.0
271;Dabraf_689;0.00833;0.4182526618006387;Dabraf;0.00833
272;Dabraf_698;0.0333;0.6084212946372728;Dabraf;0.0333
273;Dabraf_803;0.333;-0.01786575074465513;Dabraf;0.333
274;Dabraf_804;0.00833;-0.2070828231825923;Dabraf;0.00833
275;Dabraf_840;0.0333;-0.5322157519613046;Dabraf;0.0333
276;Dabraf_847;1.0;0.45618910657163025;Dabraf;1.0
277;Dabraf_855;0.333;0.851482472290144;Dabraf;0.333
278;Dabraf_907;0.1;-0.1459707502878049;Dabraf;0.1
279;Dabraf_920;10.0;1.5227565800190634;Dabraf;10.0
280;Dabraf_931;0.333;0.43086684291572186;Dabraf;0.333
281;Dabraf_951;0.00833;-0.34220025249296765;Dabraf;0.00833
282;Dabraf_978;0.0333;0.1540985512779226;Dabraf;0.0333
283;Dabraf_983;0.1;-0.4873383719610279;Dabraf;0.1
284;Encora_124;0.333;0.4856756686000147;Encora;0.333
285;Encora_13;1.0;0.7326130995576712;Encora;1.0
286;Encora_143;0.0333;0.4513595927847449;Encora;0.0333
287;Encora_162;1.0;-0.48546198495960247;Encora;1.0
288;Encora_170;0.0333;-0.3547823771667292;Encora;0.0333
289;Encora_195;10.0;2.45980212507286;Encora;10.0
290;Encora_221;0.1;0.18592945918528808;Encora;0.1
291;Encora_269;0.333;-0.031246523841734614;Encora;0.333
292;Encora_304;10.0;2.5240617146177047;Encora;10.0
293;Encora_305;0.1;-0.11988240364301299;Encora;0.1
294;Encora_335;0.1;0.5548227287520591;Encora;0.1
295;Encora_379;10.0;2.566514203920501;Encora;10.0
296;Encora_386;0.0333;0.43496245475001755;Encora;0.0333
297;Encora_4;0.1;0.3248070914602626;Encora;0.1
298;Encora_413;0.00833;0.2299528423411598;Encora;0.00833
299;Encora_422;0.00833;0.3041890902636819;Encora;0.00833
300;Encora_476;1.0;0.9082115391702007;Encora;1.0
301;Encora_50;0.00833;-0.5545448178291151;Encora;0.00833
302;Encora_500;0.0333;0.5395415868444867;Encora;0.0333
303;Encora_521;0.333;-0.11993532684876877;Encora;0.333
304;Encora_559;10.0;2.5835390136107432;Encora;10.0
305;Encora_568;0.333;0.7123752954875882;Encora;0.333
306;Encora_576;1.0;0.7530743244874426;Encora;1.0
307;Encora_96;0.00833;0.05663522235633649;Encora;0.00833
308;Gefiti_122;0.333;0.7058604233141001;Gefiti;0.333
309;Gefiti_148;0.00833;-0.18359651642652305;Gefiti;0.00833
310;Gefiti_179;1.0;0.879885137288848;Gefiti;1.0
311;Gefiti_229;0.1;0.3975446017801509;Gefiti;0.1
312;Gefiti_232;1.0;0.6672771336670263;Gefiti;1.0
313;Gefiti_243;0.333;0.6095241178875475;Gefiti;0.333
314;Gefiti_264;0.00833;-0.011741815969172233;Gefiti;0.00833
315;Gefiti_283;10.0;1.2892175749665846;Gefiti;10.0
316;Gefiti_31;0.0333;0.5556815745594005;Gefiti;0.0333
317;Gefiti_311;0.1;0.5607380080832053;Gefiti;0.1
318;Gefiti_354;1.0;1.2023446817201784;Gefiti;1.0
319;Gefiti_360;0.00833;-0.049864176659053766;Gefiti;0.00833
320;Gefiti_376;0.333;0.7663342290507233;Gefiti;0.333
321;Gefiti_412;1.0;0.8149027073553732;Gefiti;1.0
322;Gefiti_447;10.0;0.8302954265223019;Gefiti;10.0
323;Gefiti_478;0.0333;0.4979753605450949;Gefiti;0.0333
324;Gefiti_493;0.1;0.45335887916025847;Gefiti;0.1
325;Gefiti_510;0.333;0.514795381411916;Gefiti;0.333
326;Gefiti_525;0.0333;0.5227274390070723;Gefiti;0.0333
327;Gefiti_54;0.1;0.14397128839601211;Gefiti;0.1
328;Gefiti_555;10.0;1.3043343847087332;Gefiti;10.0
329;Gefiti_58;10.0;1.4926792990096192;Gefiti;10.0
330;Gefiti_604;0.00833;-0.2575498542461604;Gefiti;0.00833
331;Gefiti_71;0.0333;-0.6156942764319803;Gefiti;0.0333
332;LGK974_1025;0.1;-0.11781068215033179;LGK974;0.1
333;LGK974_1026;0.00833;0.19827085721740056;LGK974;0.00833
