Drug1,Drug2,Similarity
Gemci,Trame,0.45875501534062607
Gemci,Trici,0.5809432503970811
Gemci,Trifl,0.9407266225228856
Gemci,Vemur,0.1383946712342947
Gemci,Vinor,0.48510430781113584
Gemci,Vorin,0.30455527268036947
Gemci,abema,0.6435122464565547
Linsi,MK-22,0.5807514669176018
Linsi,Navit,0.4426534407489839
Linsi,Nutli,0.20835525654796283
Linsi,Olapa,0.014318362058059324
Linsi,Oxali,0.3989618082570997
Linsi,PD032,0.3737223411489475
Linsi,PI-10,0.5691274727210668
Linsi,Pacli,0.2739172412152935
Linsi,Palbo,0.14087046496879638
Linsi,Rabus,0.4293276699513583
Linsi,Regor,0.45827709036471226
Linsi,Ruxol,0.19734585580429853
Linsi,SB216,0.0995251124154734
Linsi,SB505,0.6460016786377221
Linsi,SN-38,0.20887554782020737
Linsi,Sapit,0.21687318159124064
Linsi,Soraf,0.4824057277285964
Linsi,Tanes,0.4284723815211711
Linsi,Tasel,0.4599236509940458
Linsi,Trame,0.3920468356351905
Linsi,Trici,-0.13922721137679722
Linsi,Trifl,0.020085354701938857
Linsi,Vemur,0.2585420046905614
Linsi,Vinor,0.16605366586077985
Linsi,Vorin,0.27691732806760294
Linsi,abema,0.27855446272793005
MK-22,Navit,0.6384532382284672
MK-22,Nutli,0.24492833419855367
MK-22,Olapa,0.2884745929777418
MK-22,Oxali,0.1625472894947777
MK-22,PD032,0.5128172893104377
MK-22,PI-10,0.5464760843601277
MK-22,Pacli,0.4067809242513673
MK-22,Palbo,0.44883299874951965
MK-22,Rabus,0.6551787310744822
MK-22,Regor,0.5953717576003935
MK-22,Ruxol,0.2491111833935021
MK-22,SB216,0.3771486448690186
MK-22,SB505,0.34562225295031634
MK-22,SN-38,0.3276001644015935
MK-22,Sapit,0.3283975728021941
MK-22,Soraf,0.6831711435111335
MK-22,Tanes,0.32917034770832243
MK-22,Tasel,0.36709058029487907
MK-22,Trame,0.5028641836958843
MK-22,Trici,0.10465203028363879
MK-22,Trifl,0.2732768818254878
MK-22,Vemur,0.27495290534777583
MK-22,Vinor,0.3339263063754255
MK-22,Vorin,0.41033591494145744
MK-22,abema,0.3596184222519851
Navit,Nutli,-0.05628037473707608
Navit,Olapa,0.07600401323141537
Navit,Oxali,-0.035400649574830786
Navit,PD032,0.3971788826362067
Navit,PI-10,0.517261678563311
Navit,Pacli,0.321391223862033
Navit,Palbo,0.08509779261697692
