EnsemblID,gene_name,logFC,PValue,FDR,F,gene_biotype,GroupA_NormCPM,GroupB_NormCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
ENSG00000274211,SOCS7,0.0836047,0.612144,0.879984,0.271933,protein_coding,51.6772,55.2444,11.7529,4.27262,0.0555253,,,
ENSG00000106554,CHCHD3,0.0998928,0.612159,0.879984,0.27201,protein_coding,34.2324,37.756,10.258,2.35226,0.0555253,,,
ENSG00000070495,JMJD6,0.0624199,0.612165,0.879984,0.27169,protein_coding,41.2148,43.3766,3.88404,1.75106,0.0555253,,,
ENSG00000172339,ALG14,-0.0772413,0.61218,0.879984,0.27167,protein_coding,13.9343,13.3358,1.14075,2.00175,0.0555253,,,
ENSG00000105364,MRPL4,-0.0679918,0.612262,0.879984,0.27154,protein_coding,333.238,317.23,52.5697,11.0128,0.0555253,,,
ENSG00000157869,RAB28,0.102771,0.612271,0.879984,0.271839,protein_coding,12.7908,14.0246,3.52421,1.25031,0.0555253,,,
ENSG00000132561,MATN2,-0.163095,0.612484,0.879984,0.271557,protein_coding,3.46549,3.09925,1.29371,1.05412,0.0555253,,,
ENSG00000087253,LPCAT2,-0.0746282,0.612543,0.879984,0.27111,protein_coding,10.2019,9.91579,1.48555,0.596523,0.0555253,,,
ENSG00000162804,SNED1,0.189353,0.612561,0.879984,0.271423,protein_coding,1.66078,2.19439,1.19262,0.556258,0.0555253,,,
ENSG00000242372,EIF6,0.0629607,0.61258,0.879984,0.271048,protein_coding,113.212,117.791,12.0423,6.86782,0.0555253,,,
ENSG00000105613,MAST1,-0.135445,0.612655,0.879984,0.271249,protein_coding,8.61852,8.37702,4.03489,1.2472,0.0555253,,,
ENSG00000164896,FASTK,0.0885838,0.612667,0.879984,0.271225,protein_coding,65.4092,68.5957,17.2478,3.6565,0.0555253,,,
ENSG00000159082,SYNJ1,-0.137066,0.612717,0.879984,0.270892,protein_coding,2.21201,2.02452,0.178019,0.586151,0.0555253,,,
