cond,z,wid,n_objects
nyquist,26,PB100083_B05,114
nyquist,26,PB100083_C08,135
nyquist,26,PB100083_D03,110
nyquist,26,PB100083_E06,101
nyquist,26,PB100083_F01,72
nyquist,26,PB100083_G04,139
nyquist,26,PB100083_H01,115
nyquist,26,PB100083_H07,80
nyquist,30,PB100082_A02,108
nyquist,30,PB100082_A08,141
nyquist,30,PB100082_B05,146
nyquist,30,PB100082_C08,134
nyquist,30,PB100082_D03,139
nyquist,30,PB100082_E06,91
nyquist,30,PB100082_F01,104
nyquist,30,PB100082_G04,91
nyquist,30,PB100082_H01,23
nyquist,30,PB100082_H07,104
nyquist,30,PB100083_A02,22
nyquist,30,PB100083_A08,111
nyquist,30,PB100083_B05,109
nyquist,30,PB100083_C08,129
nyquist,30,PB100083_D03,108
nyquist,30,PB100083_E06,102
nyquist,30,PB100083_F01,61
nyquist,30,PB100083_G04,126
nyquist,30,PB100083_H01,102
nyquist,30,PB100083_H07,70
nyquist,33,PB100082_A02,94
nyquist,33,PB100082_A08,138
nyquist,33,PB100082_B05,134
nyquist,33,PB100082_C08,128
nyquist,33,PB100082_D03,118
nyquist,33,PB100082_E06,92
nyquist,33,PB100082_F01,97
nyquist,33,PB100082_G04,87
nyquist,33,PB100082_H01,23
nyquist,33,PB100082_H07,87
nyquist,33,PB100083_A02,24
nyquist,33,PB100083_A08,106
nyquist,33,PB100083_B05,98
nyquist,33,PB100083_C08,134
nyquist,33,PB100083_D03,100
nyquist,33,PB100083_E06,96
nyquist,33,PB100083_F01,58
nyquist,33,PB100083_G04,124
nyquist,33,PB100083_H01,90
nyquist,33,PB100083_H07,64
nyquist,36,PB100082_A02,89
nyquist,36,PB100082_A08,125
nyquist,36,PB100082_B05,136
nyquist,36,PB100082_C08,123
nyquist,36,PB100082_D03,96
nyquist,36,PB100082_E06,91
nyquist,36,PB100082_F01,107
nyquist,36,PB100082_G04,82
nyquist,36,PB100082_H01,22
nyquist,36,PB100082_H07,86
nyquist,36,PB100083_A02,15
nyquist,36,PB100083_A08,101
nyquist,36,PB100083_B05,101
nyquist,36,PB100083_C08,120
nyquist,36,PB100083_D03,95
nyquist,36,PB100083_E06,96
nyquist,36,PB100083_F01,43
nyquist,36,PB100083_G04,132
nyquist,36,PB100083_H01,91
nyquist,36,PB100083_H07,59
nyquist,40,PB100082_A02,94
nyquist,40,PB100082_A08,114
nyquist,40,PB100082_B05,125
nyquist,40,PB100082_C08,112
nyquist,40,PB100082_D03,95
nyquist,40,PB100082_E06,79
nyquist,40,PB100082_F01,108
nyquist,40,PB100082_G04,73
nyquist,40,PB100082_H01,15
nyquist,40,PB100082_H07,78
nyquist,40,PB100083_A02,11
