,Metadata_PlateWell,Metadata_Site,Metadata_cell_line,ObjectNumber_cytoplasm,ObjectNumber_nuclei,AreaShape_Area_cytoplasm,Metadata_Barcode,Metadata_Well,z_um,total_per_spheroid
305,PB000137_H17,2,HCT116,49.0,54.0,144975,PB000137,H17,10,1431.0
306,PB000140_N16,2,HT29,40.0,47.0,150941,PB000140,N16,10,986.0
307,PB000137_K11,2,HCT116,49.0,61.0,154580,PB000137,K11,10,1401.0
308,PB000140_B04,2,HCT116,49.0,59.0,165045,PB000140,B04,10,855.0
309,PB000140_G14,2,HT29,42.0,52.0,166606,PB000140,G14,10,1316.0
310,PB000141_H17,2,HT29,41.0,47.0,168325,PB000141,H17,10,1074.0
311,PB000138_I21,2,HCT116,70.0,84.0,223613,PB000138,I21,10,1440.0
312,PB000139_I06,2,HCT116,85.0,100.0,250104,PB000139,I06,10,1525.0
313,PB000140_E02,2,HCT116,83.0,100.0,277876,PB000140,E02,10,1830.0
314,PB000141_H10,2,HT29,23.0,27.0,95361,PB000141,H10,10,634.0
315,PB000137_O09,2,HCT116,79.0,100.0,250487,PB000137,O09,10,1928.0
316,PB000140_H12,2,HCT116,62.0,72.5,193470,PB000140,H12,10,1359.0
317,PB000138_M23,2,HCT116,62.0,76.0,204649,PB000138,M23,10,1644.0
318,PB000138_J03,2,HCT116,98.0,118.0,318951,PB000138,J03,10,1666.0
