,cmpd_code,cmpdname,z,channel,mean_laplacian_var,std_laplacian_var,mean_normalized_var,std_normalized_var,n_wells
167,colo-044,abemaciclib (LY2835219),1,MITO,65893.85703125,12020.4049648744,3427.564099609928,988.4991317877855,30
172,colo-044,abemaciclib (LY2835219),2,MITO,70702.6375,13639.249958168823,3946.275150087102,1123.8284018717654,30
177,colo-044,abemaciclib (LY2835219),3,MITO,74367.03294270833,14175.550825712147,4194.731330345024,1128.4738129130233,30
182,colo-044,abemaciclib (LY2835219),4,MITO,77609.85130208333,14600.454678508555,4305.886304083428,1089.8448338573203,30
187,colo-044,abemaciclib (LY2835219),5,MITO,80073.462890625,15189.619101557286,4325.40398201034,1028.6316892443747,30
192,colo-044,abemaciclib (LY2835219),6,MITO,82292.54440104167,15455.977672109115,4302.22926187771,971.8367891332764,30
197,colo-044,abemaciclib (LY2835219),7,MITO,83745.927734375,15528.924585129014,4239.75547115475,915.1170684961547,30
202,colo-044,abemaciclib (LY2835219),8,MITO,85050.35247395834,15484.075561709184,4162.853456351751,867.6447953260813,30
207,colo-044,abemaciclib (LY2835219),9,MITO,85804.76041666667,15284.04849931045,4076.7527053001263,823.0710330064768,30
212,colo-044,abemaciclib (LY2835219),10,MITO,86419.663671875,14964.266753957954,3991.1856411210993,790.035919141552,30
217,colo-044,abemaciclib (LY2835219),11,MITO,86813.872265625,14939.684193023944,3882.831056852896,757.590464653427,30
222,colo-044,abemaciclib (LY2835219),12,MITO,87251.95234375,14693.00574970998,3776.7612359159307,723.3816894514192,30
227,colo-044,abemaciclib (LY2835219),13,MITO,87631.65026041666,14740.627819304134,3648.22408023026,689.2276119266191,30
232,colo-044,abemaciclib (LY2835219),14,MITO,88179.009375,14641.364836102643,3517.276906943747,655.7322559766807,30
237,colo-044,abemaciclib (LY2835219),15,MITO,88752.88854166666,14464.958632978225,3367.4669576830047,617.56645285539,30
163,colo-044,abemaciclib (LY2835219),0,PHAandWGA,19967.919596354168,4173.916996157161,854.6806237346651,177.6254685699876,30
168,colo-044,abemaciclib (LY2835219),1,PHAandWGA,21727.691015625,4734.736679295687,1092.4905250149422,292.47319119252506,30
173,colo-044,abemaciclib (LY2835219),2,PHAandWGA,23762.752766927082,5329.590907403055,1297.990961884682,367.5588659759366,30
178,colo-044,abemaciclib (LY2835219),3,PHAandWGA,25640.399967447916,5866.253014307566,1412.8413984603421,368.89817992311885,30
183,colo-044,abemaciclib (LY2835219),4,PHAandWGA,27286.021419270834,6252.149488005048,1460.5937795220716,345.7687615828216,30
188,colo-044,abemaciclib (LY2835219),5,PHAandWGA,28705.401692708332,6630.836241973615,1469.7824778302481,323.06486085407226,30
193,colo-044,abemaciclib (LY2835219),6,PHAandWGA,29878.582747395834,6838.3532846712915,1453.9081475441562,301.45970112574753,30
198,colo-044,abemaciclib (LY2835219),7,PHAandWGA,30794.769661458333,7019.637124909688,1419.3818719196747,276.57499639127315,30
203,colo-044,abemaciclib (LY2835219),8,PHAandWGA,31376.3419921875,7184.811184270119,1377.7297258443518,251.76330423832187,30
208,colo-044,abemaciclib (LY2835219),9,PHAandWGA,31892.572265625,7367.836083903852,1335.748198847033,232.04214153091667,30
213,colo-044,abemaciclib (LY2835219),10,PHAandWGA,32278.9919921875,7272.583366213839,1295.5598891789841,215.72625406316365,30
218,colo-044,abemaciclib (LY2835219),11,PHAandWGA,32350.577994791667,7388.78275168643,1254.3473686152408,201.72462344786572,30
223,colo-044,abemaciclib (LY2835219),12,PHAandWGA,32472.7939453125,7289.820570224304,1214.204448318755,189.4666397496055,30
228,colo-044,abemaciclib (LY2835219),13,PHAandWGA,32443.010481770834,7306.774202792568,1172.651441980608,179.69841109643934,30
233,colo-044,abemaciclib (LY2835219),14,PHAandWGA,32627.082486979165,7284.218144974387,1130.8449052916146,170.96199611432695,30
238,colo-044,abemaciclib (LY2835219),15,PHAandWGA,32701.427278645835,7327.41147953933,1084.5826102260894,161.2742834684702,30
164,colo-044,abemaciclib (LY2835219),0,SYTO,9922.367919921875,3781.543842310799,458.37603048016837,144.38845392542245,30
169,colo-044,abemaciclib (LY2835219),1,SYTO,11685.854459635417,4512.1988680757,629.6824538986338,240.59689303534498,30
174,colo-044,abemaciclib (LY2835219),2,SYTO,13618.71484375,5388.27464270805,775.0181715553211,301.4848879209883,30
179,colo-044,abemaciclib (LY2835219),3,SYTO,15267.32021484375,6130.61327965334,846.7843738954341,313.50539621846235,30
184,colo-044,abemaciclib (LY2835219),4,SYTO,16510.047998046874,6696.974159846162,866.543166227814,305.6465604253205,30
189,colo-044,abemaciclib (LY2835219),5,SYTO,17440.092024739584,7322.410964318728,856.2450792111214,292.423963208525,30
194,colo-044,abemaciclib (LY2835219),6,SYTO,18110.97586263021,7800.874568885579,831.5532162128259,275.0704064733058,30
199,colo-044,abemaciclib (LY2835219),7,SYTO,18452.01629231771,8152.977422215253,797.263356069898,256.59486097326896,30
