Metadata_pert_name,corr,Metadata_name,Metadata_conc_step,cell_line,kind
Navit_1.0,0.10953839150964832,Navit,1.0,HT29,replicate
Nutli_1.0,-0.14162247589210786,Nutli,1.0,HT29,replicate
Olapa_1.0,-0.062795207300651,Olapa,1.0,HT29,replicate
Oxali_1.0,0.1625568268873835,Oxali,1.0,HT29,replicate
PD032_1.0,0.5465398445742,PD032,1.0,HT29,replicate
PI-10_1.0,-0.04178612192979829,PI-10,1.0,HT29,replicate
Pacli_1.0,-0.00201867384538759,Pacli,1.0,HT29,replicate
Palbo_1.0,0.4827888632830566,Palbo,1.0,HT29,replicate
Phenf_1.0,-0.06075730043096137,Phenf,1.0,HT29,replicate
Rabus_1.0,0.12999851108832702,Rabus,1.0,HT29,replicate
Regor_1.0,0.10253236801290586,Regor,1.0,HT29,replicate
Ruxol_1.0,-0.006922875327893863,Ruxol,1.0,HT29,replicate
SB216_1.0,-0.011762044103287489,SB216,1.0,HT29,replicate
SB505_1.0,0.05529311024900154,SB505,1.0,HT29,replicate
SN-38_1.0,0.4649726386287852,SN-38,1.0,HT29,replicate
Sapit_1.0,0.07855749218171204,Sapit,1.0,HT29,replicate
Soraf_1.0,0.18666532352079623,Soraf,1.0,HT29,replicate
Tanes_1.0,0.5182527030861479,Tanes,1.0,HT29,replicate
Tasel_1.0,0.37967580752588,Tasel,1.0,HT29,replicate
Temoz_1.0,0.021575864786514132,Temoz,1.0,HT29,replicate
Trame_1.0,-0.04293049751237269,Trame,1.0,HT29,replicate
Trici_1.0,0.05327705578414775,Trici,1.0,HT29,replicate
Trifl_1.0,-0.12728055339509947,Trifl,1.0,HT29,replicate
Velip_1.0,-0.09839790842881846,Velip,1.0,HT29,replicate
Vemur_1.0,0.46128468495816854,Vemur,1.0,HT29,replicate
Vinor_1.0,0.24213054274244464,Vinor,1.0,HT29,replicate
Vorin_1.0,0.13681534653372582,Vorin,1.0,HT29,replicate
abema_1.0,0.3688273900427914,abema,1.0,HT29,replicate
5Z-7-_2.0,0.6198402568169843,5Z-7-,2.0,HT29,replicate
ABT-7_2.0,0.04206474545166491,ABT-7,2.0,HT29,replicate
AMG23_2.0,-0.04495609439147632,AMG23,2.0,HT29,replicate
AZD45_2.0,0.025079758271327437,AZD45,2.0,HT29,replicate
AZD77_2.0,,AZD77,2.0,HT29,replicate
AZD80_2.0,0.5940058338546004,AZD80,2.0,HT29,replicate
Adavo_2.0,,Adavo,2.0,HT29,replicate
Afati_2.0,0.12461375742778172,Afati,2.0,HT29,replicate
Alpel_2.0,0.226136030839648,Alpel,2.0,HT29,replicate
BMS-7_2.0,0.5928603234076344,BMS-7,2.0,HT29,replicate
Binim_2.0,0.6594936155470993,Binim,2.0,HT29,replicate
Borte_2.0,0.47730290159905286,Borte,2.0,HT29,replicate
Cobim_2.0,0.6625693203052501,Cobim,2.0,HT29,replicate
Crizo_2.0,0.11322528993594698,Crizo,2.0,HT29,replicate
Dabra_2.0,0.6046627293909999,Dabra,2.0,HT29,replicate
Doram_2.0,0.052119646222857925,Doram,2.0,HT29,replicate
Encor_2.0,0.5720464089174235,Encor,2.0,HT29,replicate
Fluor_2.0,0.02857465030746766,Fluor,2.0,HT29,replicate
Gefit_2.0,0.112307590953693,Gefit,2.0,HT29,replicate
Gemci_2.0,0.5678708513779318,Gemci,2.0,HT29,replicate
LGK-9_2.0,-0.16899611953160995,LGK-9,2.0,HT29,replicate
Linsi_2.0,0.6168190561952152,Linsi,2.0,HT29,replicate
MK-22_2.0,0.37609741512850836,MK-22,2.0,HT29,replicate
Migli_2.0,-0.015150555461005102,Migli,2.0,HT29,replicate
Navit_2.0,0.11485264249272817,Navit,2.0,HT29,replicate
Nutli_2.0,0.03262934458295222,Nutli,2.0,HT29,replicate
Olapa_2.0,0.03922405924995441,Olapa,2.0,HT29,replicate
Oxali_2.0,0.252341434411164,Oxali,2.0,HT29,replicate
PD032_2.0,0.7663610085839809,PD032,2.0,HT29,replicate
PI-10_2.0,-0.04784103467331725,PI-10,2.0,HT29,replicate
Pacli_2.0,0.47974782892811285,Pacli,2.0,HT29,replicate
Palbo_2.0,0.3932762446551762,Palbo,2.0,HT29,replicate
Phenf_2.0,-0.004862893792486726,Phenf,2.0,HT29,replicate
