Metadata_pert_name,corr,Metadata_name,Metadata_conc_step,cell_line,kind
Migli_1.0,0.2831309065794426,Migli,1.0,HT29,replicate
Navit_1.0,0.25254682941021156,Navit,1.0,HT29,replicate
Nutli_1.0,-0.15145176412768563,Nutli,1.0,HT29,replicate
Olapa_1.0,-0.05719829352759122,Olapa,1.0,HT29,replicate
Oxali_1.0,0.4373643794713983,Oxali,1.0,HT29,replicate
PD032_1.0,0.757850799559909,PD032,1.0,HT29,replicate
PI-10_1.0,0.11634694106523695,PI-10,1.0,HT29,replicate
Pacli_1.0,0.08471506608934445,Pacli,1.0,HT29,replicate
Palbo_1.0,0.7555783858560616,Palbo,1.0,HT29,replicate
Phenf_1.0,0.09418133017986871,Phenf,1.0,HT29,replicate
Rabus_1.0,0.29250911399383306,Rabus,1.0,HT29,replicate
Regor_1.0,0.019459806634975152,Regor,1.0,HT29,replicate
Ruxol_1.0,0.07929890644072989,Ruxol,1.0,HT29,replicate
SB216_1.0,0.036575760367679205,SB216,1.0,HT29,replicate
SB505_1.0,0.06730076303335021,SB505,1.0,HT29,replicate
SN-38_1.0,0.6554030333127099,SN-38,1.0,HT29,replicate
Sapit_1.0,0.29480066173453007,Sapit,1.0,HT29,replicate
Soraf_1.0,0.40858535133956586,Soraf,1.0,HT29,replicate
Tanes_1.0,0.49221892587641025,Tanes,1.0,HT29,replicate
Tasel_1.0,0.7023408177351957,Tasel,1.0,HT29,replicate
Temoz_1.0,0.04919859181039002,Temoz,1.0,HT29,replicate
Trame_1.0,-0.10539321674725051,Trame,1.0,HT29,replicate
Trici_1.0,0.4224035932284902,Trici,1.0,HT29,replicate
Trifl_1.0,-0.03197350539465449,Trifl,1.0,HT29,replicate
Velip_1.0,0.04191768196298,Velip,1.0,HT29,replicate
Vemur_1.0,0.5420051250880282,Vemur,1.0,HT29,replicate
Vinor_1.0,0.32884694429130046,Vinor,1.0,HT29,replicate
Vorin_1.0,0.26319916733995974,Vorin,1.0,HT29,replicate
abema_1.0,0.5986259804454945,abema,1.0,HT29,replicate
5Z-7-_2.0,0.7089294703647423,5Z-7-,2.0,HT29,replicate
ABT-7_2.0,0.2650495959183258,ABT-7,2.0,HT29,replicate
AMG23_2.0,0.19719185738985662,AMG23,2.0,HT29,replicate
AZD45_2.0,-0.04916157117694751,AZD45,2.0,HT29,replicate
AZD77_2.0,,AZD77,2.0,HT29,replicate
AZD80_2.0,0.6609247248312768,AZD80,2.0,HT29,replicate
Adavo_2.0,,Adavo,2.0,HT29,replicate
Afati_2.0,0.3604094783495174,Afati,2.0,HT29,replicate
Alpel_2.0,0.4154786312919063,Alpel,2.0,HT29,replicate
BMS-7_2.0,0.3577840737455137,BMS-7,2.0,HT29,replicate
Binim_2.0,0.7672544789558258,Binim,2.0,HT29,replicate
Borte_2.0,0.5801492733747511,Borte,2.0,HT29,replicate
Cobim_2.0,0.6918855247238362,Cobim,2.0,HT29,replicate
Crizo_2.0,0.2031851545244379,Crizo,2.0,HT29,replicate
Dabra_2.0,0.6560174551270971,Dabra,2.0,HT29,replicate
Doram_2.0,0.11294498558833953,Doram,2.0,HT29,replicate
Encor_2.0,0.44233574756358374,Encor,2.0,HT29,replicate
Fluor_2.0,0.20107614206835392,Fluor,2.0,HT29,replicate
Gefit_2.0,0.2024065446771493,Gefit,2.0,HT29,replicate
Gemci_2.0,0.7722326540665871,Gemci,2.0,HT29,replicate
LGK-9_2.0,-0.23288680862007893,LGK-9,2.0,HT29,replicate
Linsi_2.0,0.686535804812083,Linsi,2.0,HT29,replicate
MK-22_2.0,0.39535829503585507,MK-22,2.0,HT29,replicate
Migli_2.0,0.1984850776505502,Migli,2.0,HT29,replicate
Navit_2.0,0.349181093355589,Navit,2.0,HT29,replicate
Nutli_2.0,0.19931908367468348,Nutli,2.0,HT29,replicate
Olapa_2.0,0.07721764959870378,Olapa,2.0,HT29,replicate
Oxali_2.0,0.5816371062022143,Oxali,2.0,HT29,replicate
PD032_2.0,0.6603801875515596,PD032,2.0,HT29,replicate
PI-10_2.0,-0.015138877376532352,PI-10,2.0,HT29,replicate
Pacli_2.0,0.5271302067737288,Pacli,2.0,HT29,replicate
