Metadata_PlateWell,Metadata_Site,Metadata_cell_line,ObjectNumber_cytoplasm,ObjectNumber_nuclei,AreaShape_Area_cytoplasm,Metadata_Barcode,Metadata_Well,z_um
PB000140_K09,2,HCT116,90.0,111.0,265289,PB000140,K09,10
PB000137_C05,2,HCT116,114.0,139.0,363091,PB000137,C05,10
PB000140_O11,2,HCT116,93.0,118.0,310628,PB000140,O11,10
PB000141_C05,2,HT29,53.0,70.0,201363,PB000141,C05,10
PB000138_F20,2,HCT116,58.0,67.0,174258,PB000138,F20,10
PB000140_B04,2,HCT116,49.0,59.0,165045,PB000140,B04,10
PB000140_C10,2,HCT116,57.0,60.0,181695,PB000140,C10,10
PB000139_N16,2,HT29,25.0,31.0,132137,PB000139,N16,10
PB000141_N15,2,HT29,32.0,42.0,126886,PB000141,N15,10
PB000137_H10,2,HCT116,40.0,49.0,131407,PB000137,H10,10
PB000141_H10,2,HT29,23.0,27.0,95361,PB000141,H10,10
PB000138_G02,2,HCT116,82.0,99.0,269610,PB000138,G02,10
PB000142_L18,2,HT29,39.0,51.0,140256,PB000142,L18,10
PB000138_L07,2,HCT116,60.0,75.5,189341,PB000138,L07,10
PB000139_O18,2,HT29,43.0,56.0,172750,PB000139,O18,10
PB000140_B15,2,HT29,28.0,30.0,89058,PB000140,B15,10
PB000139_O22,2,HT29,52.0,64.66666666666667,203959,PB000139,O22,10
PB000140_N16,2,HT29,40.0,47.0,150941,PB000140,N16,10
PB000140_G14,2,HT29,42.0,52.0,166606,PB000140,G14,10
PB000137_F20,2,HCT116,74.0,87.0,236731,PB000137,F20,10
PB000139_H12,2,HCT116,65.0,77.0,222747,PB000139,H12,10
PB000142_C05,2,HT29,14.0,19.5,50788,PB000142,C05,10
PB000141_F06,2,HT29,31.0,41.0,132891,PB000141,F06,10
PB000142_F20,2,HT29,40.0,43.0,150978,PB000142,F20,10
PB000137_G02,2,HCT116,60.0,71.0,166112,PB000137,G02,10
PB000142_N04,2,HT29,48.0,61.0,181078,PB000142,N04,10
PB000141_L18,2,HT29,40.0,48.0,151307,PB000141,L18,10
PB000138_N15,2,HCT116,90.0,109.0,274506,PB000138,N15,10
PB000138_F06,2,HCT116,43.0,53.0,133664,PB000138,F06,10
PB000142_G13,2,HT29,26.0,28.0,116975,PB000142,G13,10
PB000141_K11,2,HT29,47.0,53.0,194131,PB000141,K11,10
PB000139_G03,2,HCT116,61.0,73.0,200058,PB000139,G03,10
PB000137_H17,2,HCT116,49.0,54.0,144975,PB000137,H17,10
PB000141_B22,3,HT29,11.0,13.0,37289,PB000141,B22,15
PB000140_O11,3,HCT116,118.0,151.0,378585,PB000140,O11,15
PB000139_G14,3,HT29,69.0,85.0,240328,PB000139,G14,15
PB000140_G14,3,HT29,59.0,76.0,238741,PB000140,G14,15
PB000139_N16,3,HT29,40.0,50.0,176322,PB000139,N16,15
PB000142_J14,3,HT29,51.0,62.0,202038,PB000142,J14,15
PB000138_H10,3,HCT116,115.0,137.0,337761,PB000138,H10,15
PB000138_G02,3,HCT116,106.0,138.5,346055,PB000138,G02,15
PB000141_I21,3,HT29,61.0,73.0,197831,PB000141,I21,15
PB000140_O22,3,HT29,50.0,60.5,190101,PB000140,O22,15
PB000141_G02,3,HT29,58.0,78.5,245852,PB000141,G02,15
PB000142_L18,3,HT29,47.0,64.0,174739,PB000142,L18,15
PB000140_B15,3,HT29,38.0,41.0,121575,PB000140,B15,15
PB000137_N15,3,HCT116,74.0,90.0,218939,PB000137,N15,15
PB000138_E16,3,HCT116,65.0,80.0,216156,PB000138,E16,15
PB000141_O09,3,HT29,76.0,88.0,288990,PB000141,O09,15
PB000140_G03,3,HCT116,85.0,110.0,264763,PB000140,G03,15
PB000142_H10,3,HT29,44.0,56.5,148679,PB000142,H10,15
PB000141_L07,3,HT29,56.0,73.0,200553,PB000141,L07,15
PB000141_G13,3,HT29,73.0,91.0,248742,PB000141,G13,15
PB000137_K11,3,HCT116,73.0,87.0,239733,PB000137,K11,15
PB000139_O11,3,HCT116,84.0,98.0,265825,PB000139,O11,15
PB000138_I21,3,HCT116,87.0,108.0,281178,PB000138,I21,15
PB000137_M23,3,HCT116,80.0,104.0,264159,PB000137,M23,15
PB000138_F20,3,HCT116,82.0,97.0,246643,PB000138,F20,15
PB000140_O18,3,HT29,70.0,85.0,268987,PB000140,O18,15
PB000141_F06,3,HT29,53.0,63.0,214482,PB000141,F06,15
PB000137_O09,3,HCT116,108.0,130.0,333920,PB000137,O09,15
PB000139_C10,3,HCT116,78.0,95.0,227637,PB000139,C10,15
PB000140_K09,3,HCT116,118.0,151.5,355960,PB000140,K09,15
PB000141_N15,3,HT29,55.0,65.5,215061,PB000141,N15,15
PB000140_N16,3,HT29,58.0,63.0,215773,PB000140,N16,15
PB000142_L07,3,HT29,64.0,79.0,231820,PB000142,L07,15
PB000141_H17,3,HT29,64.0,79.5,222945,PB000141,H17,15
PB000140_E13,3,HT29,85.0,101.0,319443,PB000140,E13,15
PB000141_K11,3,HT29,60.0,76.0,232265,PB000141,K11,15
PB000138_M23,3,HCT116,91.0,108.0,290510,PB000138,M23,15
PB000142_B22,3,HT29,42.0,53.0,160489,PB000142,B22,15
PB000139_O18,3,HT29,52.0,65.0,196686,PB000139,O18,15
PB000138_L07,3,HCT116,80.0,100.0,249876,PB000138,L07,15
PB000140_B04,3,HCT116,59.0,73.0,186950,PB000140,B04,15
PB000142_G13,3,HT29,47.0,58.0,178200,PB000142,G13,15
